status_id,created_at,text,iso_language_code,location,keyword_matches,user_id,screen_name,followers_count,friends_count,statuses_count,retweet_count,favorite_count,hashtags,datetime,date,urgent_need_flag,resource_flag
1388634444039286784,Sat May 01 23:20:25 +0000 2021,"#Oxygen Cylinder Kit: #Delhi 

Kit available for Rs. 3500. 

Contact Mohta Brothers - +91 98913 32403

Verified by Yash over WhatsApp call at 5:10pm on 1st May

Via #ICLUVerifies",en,Mumbai,['Oxygen'],30216991,Shayoneespeaks,1832,999,31301,6,1,"['Oxygen', 'Delhi', 'ICLUVerifies']",2021-05-01 23:20:25+00:00,2021-05-01,False,True
1388633756727005184,Sat May 01 23:17:41 +0000 2021,"@kohliseetu @FilmyMartini @Bhuvan_Bam Important information for people looking for beds in Delhi/NCR

NIIMS Hospital in Greater Noida has confirmed availability of oxygen beds with ICU facility.
 Dr Rajesh - 9212736852
Note : admitting patients in a moderate condition only not Critical
Verified by someone/ at 1:07am",en,Mumbai,"['ICU', 'Oxygen']",129486408,Sad_Salesman,73,749,3379,4,1,[],2021-05-01 23:17:41+00:00,2021-05-01,True,True
1388620315480137728,Sat May 01 22:24:17 +0000 2021,"@drharshvardhan @sgurumurthy people get oxygen; lastly, this wave is a tsunami so can't blame govt. So, nothing about govt's lack of efforts to prepare, their responsibility to ensure availability of oxygen (if it's privatised, doesn't mean it's not govt's job to ensure people don't die of lack of oxygen)",en,"Mumbai, India",['Oxygen'],825998929833586688,meka_rv,23,157,573,0,0,[],2021-05-01 22:24:17+00:00,2021-05-01,False,True
1388615276103553025,Sat May 01 22:04:15 +0000 2021,"Oxygen Refill Available after approx 15 minutest as cylinder vehicles in on the way

Address 
Hamdard Dawakhana, Lal Quan 
Old Delhi 
Come with Small Cylinders

Verified -12:13 AM
Date 02 May 
9250515849 Only whatsapp

SOSDelhi 
OxygenCylinders
#Delhi",en,Mumbai,['Oxygen'],1387706107976577026,Krithikaiyer20,21,66,172,5,0,['Delhi'],2021-05-01 22:04:15+00:00,2021-05-01,False,True
1388614798632390657,Sat May 01 22:02:21 +0000 2021,"Nehru Place Delhi
Contact at : +919410093112

Oxygen cylinder / refill available 

Verified at 19:06 (May 1) by Surabhi

DelhiFightsCorona

#Delhi",en,Mumbai,['Oxygen'],1387706107976577026,Krithikaiyer20,21,66,172,2,1,['Delhi'],2021-05-01 22:02:21+00:00,2021-05-01,False,True
1388614482184654848,Sat May 01 22:01:06 +0000 2021,"Beds with oxygen support available in NOVA ENT hospital, Hyderabad 

Contact : 7729949575

Verified at 12:30AM

CovidHelp
#hyderabad",en,Mumbai,['Oxygen'],1387706107976577026,Krithikaiyer20,21,66,172,4,2,['hyderabad'],2021-05-01 22:01:06+00:00,2021-05-01,False,True
1388588970586505218,Sat May 01 20:19:43 +0000 2021,@Ritu52876981 @SonuSood Oxygen bed Available https://t.co/LtC5R3t2j9,en,Mumbai,['Oxygen'],2954676607,vidzi12,1198,139,13720,0,0,[],2021-05-01 20:19:43+00:00,2021-05-01,False,True
1388588646115155970,Sat May 01 20:18:26 +0000 2021,"@Nikita_M01 @IrfanPathan @kumarmanish9 @MadhishParikh @ABhiyant_Tiwari @ahmedabadlive_ @notbeingharsh @SidDholakia @gaurang9007 @IamNDMakwana @AmitHPanchal @aditiraval That's old news, please delete the tweet, there is no issue about oxygen availability as of now.",en,Mumbai,['Oxygen'],976191337,ShubhalShah,1140,633,12526,0,0,[],2021-05-01 20:18:26+00:00,2021-05-01,False,True
1388588208535998465,Sat May 01 20:16:42 +0000 2021,"@gurruchoudhary Pls try this 
#verified Beds available

#Noida
Beds with oxygen
Sharma super speciality Hospital
012023 26666

#Delhi
Beds with ventilator
96545 35285

#Delhi
Home ICU
WhatsApp with details
98715 82633",en,"Mumbai, Maharashtra","['ICU', 'Oxygen', 'ventilator']",581027565,EshaSharma10,929,62,11717,8,6,"['verified', 'Noida', 'Delhi', 'Delhi']",2021-05-01 20:16:42+00:00,2021-05-01,False,True
1388586665334099968,Sat May 01 20:10:34 +0000 2021,@samirsaran @sanjeevsanyal @ianuragthakur @nsitharamanoffc Just asking...is the issue oxygen availability or pricing. Or is availability impacted by gst.,en,"Thane, India",['Oxygen'],1344639543257882625,santoshkarthi10,9,114,1008,0,0,[],2021-05-01 20:10:34+00:00,2021-05-01,False,True
