status_id,created_at,text,iso_language_code,location,keyword_matches,user_id,screen_name,followers_count,friends_count,statuses_count,retweet_count,favorite_count,hashtags,datetime,date,urgent_need_flag,resource_flag
1388629773304229888,Sat May 01 23:01:52 +0000 2021,Urgent need an ICU bed in Gwalior for a critical case - Navin Jain - his oxygen level is going very down.. please help  @vishwajains @ChouhanShivraj @hiteshsharma_7,en,New Delhi,"['ICU', 'Oxygen']",556935435,casulabhjain,16,42,916,1,0,[],2021-05-01 23:01:52+00:00,2021-05-01,True,False
1388629633612926976,Sat May 01 23:01:18 +0000 2021,Any leads for oxygen #concentrator in Delhi please? Super urgent. #SOSDelhi,en,"New Delhi, India",['Oxygen'],1076865936,deipakpatel,102,527,3213,0,0,"['concentrator', 'SOSDelhi']",2021-05-01 23:01:18+00:00,2021-05-01,True,False
1388629364858769411,Sat May 01 23:00:14 +0000 2021,‘Oxygen shortage’ in two Andhra Pradesh hospitals kill 16 Covid patients https://t.co/5FUKbPKbrZ,en,"New Delhi, India",['Oxygen'],29958928,TOIIndiaNews,1719082,22,278227,2,2,[],2021-05-01 23:00:14+00:00,2021-05-01,True,False
1388629171979522048,Sat May 01 22:59:28 +0000 2021,"Urgent need for #covid-19 recovered #plasma
#Hyderabad

Patient: Abhishek Joshi
Blood group: AB Positive
Hospital: Yashoda  hospitals,Rajbhawan road,Somajigida
Telangana 
Contact Name: PRIYA/LUBHAN
Contact Number: 8872477774

via @srinivasyedida

#TeamIndiaVsCovid",en,"Gurgaon, India",['plasma'],1279502964311261184,CovidPlasmaIn,3774,2,25309,1,0,"['covid', 'plasma', 'Hyderabad', 'TeamIndiaVsCovid']",2021-05-01 22:59:28+00:00,2021-05-01,True,False
1388628866160205826,Sat May 01 22:58:15 +0000 2021,"@RubikaLiyaquat please save the life
Urgent needed Ms Isha Gulati 1: Need b+ plasma 1 unitMs Isha Gulati 1: Age 36
Mukherjee nagar
Current oxygen 68 without support 
With support 78

 Ms Isha Gulati 1:Hrct-21/25
+91 81044 65407 Dr Kunti Saroj hospital 

@srinivasiyc https://t.co/ERgZtNSYWo",en,"New Delhi, India","['plasma', 'Oxygen']",1359173442541477890,Kamalbagga15,239,718,5389,0,0,[],2021-05-01 22:58:15+00:00,2021-05-01,True,False
1388628715316289538,Sat May 01 22:57:39 +0000 2021,"We provided three 50 liters filled Oxygen cylinders and one empty cylinder yesterday to people in need.

#OxygenCrisis #DelhiFightsCorona https://t.co/vTHIW3C5Vb",en,"New Delhi, India","['""oxygen cylinders""', 'Oxygen']",1111948192290140160,arbabali_jmi,993,1030,2319,0,0,"['OxygenCrisis', 'DelhiFightsCorona']",2021-05-01 22:57:39+00:00,2021-05-01,True,False
1388628260741738497,Sat May 01 22:55:51 +0000 2021,"Urgent need for #covid-19 recovered #plasma
#NewDelhi

Patient: Santosh Kumar negi
Blood group: B Negative
Hospital: Fortis escorts hospital, okhla
Contact Name: Puneet
Contact Number: 8802111150

via TSI form

#TeamIndiaVsCovid",en,"Gurgaon, India",['plasma'],1279502964311261184,CovidPlasmaIn,3774,2,25309,1,0,"['covid', 'plasma', 'NewDelhi', 'TeamIndiaVsCovid']",2021-05-01 22:55:51+00:00,2021-05-01,True,False
1388627420710805505,Sat May 01 22:52:31 +0000 2021,"Urgent need for #covid-19 recovered #plasma
#Haryana

Patient: Parmod Kumar jain
Blood group: B Positive
Hospital: FIMS hospital, bhalgarh road, Sonipat, Haryana 
Contact Name: Vinay Jain
Contact Number: 8285002055

via Vinay Jain

#TeamIndiaVsCovid",en,"Gurgaon, India",['plasma'],1279502964311261184,CovidPlasmaIn,3774,2,25309,1,0,"['covid', 'plasma', 'Haryana', 'TeamIndiaVsCovid']",2021-05-01 22:52:31+00:00,2021-05-01,True,False
1388626504943247362,Sat May 01 22:48:52 +0000 2021,"Urgent need for #covid-19 recovered #plasma
#delhi

Patient: hari chand gupta
Blood group: B Positive
Hospital: sri action balaji hospital, A4 block, paschim vihar
Contact Name: ramnik gupta
Contact Number: 9811773220

via velika gupta

#TeamIndiaVsCovid",en,"Gurgaon, India",['plasma'],1279502964311261184,CovidPlasmaIn,3774,2,25309,1,0,"['covid', 'plasma', 'delhi', 'TeamIndiaVsCovid']",2021-05-01 22:48:52+00:00,2021-05-01,True,False
1388625505373495297,Sat May 01 22:44:54 +0000 2021,"Urgent need for #covid-19 recovered #plasma
#Newdelhi

Patient: Amit Agarwal
Blood group: B Positive
Hospital: Bajaj action medical institute, panschim vihar, new delhi
Contact Name: Subhash Agarwal
Contact Number: 9310212277

via TSI form

#TeamIndiaVsCovid",en,"Gurgaon, India",['plasma'],1279502964311261184,CovidPlasmaIn,3774,2,25309,1,0,"['covid', 'plasma', 'Newdelhi', 'TeamIndiaVsCovid']",2021-05-01 22:44:54+00:00,2021-05-01,True,False
1388625227727335425,Sat May 01 22:43:48 +0000 2021,"Urgently require plasma for my Uncle. Blood group is O+ve

Please help if you have any genuine leads.

Harman Singh
7290004141

@TajinderBagga @richaanirudh @Avilamba @RubikaLiyaquat @impreetsbakshi @sukh_slatch",en,"नई दिल्ली, भारत",['plasma'],920808020,mandeepggs,885,325,3225,4,2,[],2021-05-01 22:43:48+00:00,2021-05-01,True,False
1388624787040129026,Sat May 01 22:42:03 +0000 2021,Update: Patient has got the plasma. Thanks 🙏,en,"New Delhi, India",['plasma'],2598201013,gauravgoelca,475,775,1451,0,0,[],2021-05-01 22:42:03+00:00,2021-05-01,True,False
1388624762016985090,Sat May 01 22:41:57 +0000 2021,Update: Patient has got the plasma. Thanks Everyone. 🙏 https://t.co/3eXEYYtm8V,en,"New Delhi, India",['plasma'],2598201013,gauravgoelca,475,775,1451,0,0,[],2021-05-01 22:41:57+00:00,2021-05-01,True,False
